fecha,estacion,tipo_pago,afluencia
2021-01-07,Zapotitlán,Boleto,0
2021-01-07,Zapotitlán,Prepago,6855
2021-01-07,Zapotitlán,Gratuidad,1268
2021-01-08,Hospital 20 de Noviembre,Boleto,0
2021-01-08,Hospital 20 de Noviembre,Prepago,4756
2021-01-08,Hospital 20 de Noviembre,Gratuidad,498
2021-01-08,Atlalilco,Boleto,0
2021-01-08,Atlalilco,Prepago,4120
2021-01-08,Atlalilco,Gratuidad,3094
2021-01-08,Calle 11,Boleto,0
2021-01-08,Calle 11,Prepago,8095
2021-01-08,Calle 11,Gratuidad,1451
2021-01-08,Culhuacán,Boleto,0
2021-01-08,Culhuacán,Prepago,8657
2021-01-08,Culhuacán,Gratuidad,1487
2021-01-08,Eje Central,Boleto,0
2021-01-08,Eje Central,Prepago,2353
2021-01-08,Eje Central,Gratuidad,3479
2021-01-08,Ermita,Boleto,0
2021-01-08,Ermita,Prepago,4490
2021-01-08,Ermita,Gratuidad,1039
2021-01-08,Insurgentes Sur,Boleto,0
2021-01-08,Insurgentes Sur,Prepago,12545
2021-01-08,Insurgentes Sur,Gratuidad,0
2021-01-08,Lomas Estrella,Boleto,0
2021-01-08,Lomas Estrella,Prepago,3928
2021-01-08,Lomas Estrella,Gratuidad,97
2021-01-08,Mexicaltzingo,Boleto,0
2021-01-08,Mexicaltzingo,Prepago,8097
2021-01-08,Mexicaltzingo,Gratuidad,0
2021-01-08,Mixcoac,Boleto,0
2021-01-08,Mixcoac,Prepago,5325
2021-01-08,Mixcoac,Gratuidad,236
2021-01-08,Nopalera,Boleto,0
2021-01-08,Nopalera,Prepago,12881
2021-01-08,Nopalera,Gratuidad,0
2021-01-08,Olivos,Boleto,0
2021-01-08,Olivos,Prepago,9205
2021-01-08,Olivos,Gratuidad,828
2021-01-08,Parque de los Venados,Boleto,0
2021-01-08,Parque de los Venados,Prepago,4118
2021-01-08,Parque de los Venados,Gratuidad,452
2021-01-08,Periférico Oriente,Boleto,0
2021-01-08,Periférico Oriente,Prepago,16159
2021-01-08,Periférico Oriente,Gratuidad,1554
2021-01-08,San Andrés Tomatlán,Boleto,0
2021-01-08,San Andrés Tomatlán,Prepago,4543
2021-01-08,San Andrés Tomatlán,Gratuidad,139
2021-01-08,Tezonco,Boleto,0
2021-01-08,Tezonco,Prepago,12863
2021-01-08,Tezonco,Gratuidad,0
2021-01-08,Tláhuac,Boleto,0
2021-01-08,Tláhuac,Prepago,17723
2021-01-08,Tláhuac,Gratuidad,4344
2021-01-08,Tlaltenco,Boleto,0
2021-01-08,Tlaltenco,Prepago,2058
2021-01-08,Tlaltenco,Gratuidad,193
2021-01-08,Zapata,Boleto,0
2021-01-08,Zapata,Prepago,4699
2021-01-08,Zapata,Gratuidad,881
2021-01-08,Zapotitlán,Boleto,0
2021-01-08,Zapotitlán,Prepago,7090
2021-01-08,Zapotitlán,Gratuidad,1061
2021-01-09,Hospital 20 de Noviembre,Boleto,0
2021-01-09,Hospital 20 de Noviembre,Prepago,2604
2021-01-09,Hospital 20 de Noviembre,Gratuidad,525
2021-01-09,Atlalilco,Boleto,0
2021-01-09,Atlalilco,Prepago,3042
2021-01-09,Atlalilco,Gratuidad,2165
2021-01-09,Calle 11,Boleto,0
2021-01-09,Calle 11,Prepago,5279
2021-01-09,Calle 11,Gratuidad,980
2021-01-09,Culhuacán,Boleto,0
2021-01-09,Culhuacán,Prepago,8170
2021-01-09,Culhuacán,Gratuidad,1452
2021-01-09,Eje Central,Boleto,0
2021-01-09,Eje Central,Prepago,2030
2021-01-09,Eje Central,Gratuidad,3011
2021-01-09,Ermita,Boleto,0
2021-01-09,Ermita,Prepago,7530
2021-01-09,Ermita,Gratuidad,2154
2021-01-09,Insurgentes Sur,Boleto,0
2021-01-09,Insurgentes Sur,Prepago,11077
2021-01-09,Insurgentes Sur,Gratuidad,825
2021-01-09,Lomas Estrella,Boleto,0
2021-01-09,Lomas Estrella,Prepago,3174
2021-01-09,Lomas Estrella,Gratuidad,0
2021-01-09,Mexicaltzingo,Boleto,0
2021-01-09,Mexicaltzingo,Prepago,6041
2021-01-09,Mexicaltzingo,Gratuidad,0
2021-01-09,Mixcoac,Boleto,0
2021-01-09,Mixcoac,Prepago,3626
2021-01-09,Mixcoac,Gratuidad,0
2021-01-09,Nopalera,Boleto,0
2021-01-09,Nopalera,Prepago,10194
2021-01-09,Nopalera,Gratuidad,899
2021-01-09,Olivos,Boleto,0
2021-01-09,Olivos,Prepago,6899
2021-01-09,Olivos,Gratuidad,0
2021-01-09,Parque de los Venados,Boleto,0
2021-01-09,Parque de los Venados,Prepago,3492
2021-01-09,Parque de los Venados,Gratuidad,388
2021-01-09,Periférico Oriente,Boleto,0
2021-01-09,Periférico Oriente,Prepago,13938
2021-01-09,Periférico Oriente,Gratuidad,1375
2021-01-09,San Andrés Tomatlán,Boleto,0
2021-01-09,San Andrés Tomatlán,Prepago,3127
2021-01-09,San Andrés Tomatlán,Gratuidad,556
2021-01-09,Tezonco,Boleto,0
2021-01-09,Tezonco,Prepago,10018
2021-01-09,Tezonco,Gratuidad,4924
2021-01-09,Tláhuac,Boleto,0
2021-01-09,Tláhuac,Prepago,9862
2021-01-09,Tláhuac,Gratuidad,11751
2021-01-09,Tlaltenco,Boleto,0
2021-01-09,Tlaltenco,Prepago,1807
2021-01-09,Tlaltenco,Gratuidad,486
2021-01-09,Zapata,Boleto,0
2021-01-09,Zapata,Prepago,8237
2021-01-09,Zapata,Gratuidad,1450
2021-01-09,Zapotitlán,Boleto,0
2021-01-09,Zapotitlán,Prepago,5392
2021-01-09,Zapotitlán,Gratuidad,622
2021-01-10,Hospital 20 de Noviembre,Boleto,0
2021-01-10,Hospital 20 de Noviembre,Prepago,1346
2021-01-10,Hospital 20 de Noviembre,Gratuidad,122
2021-01-10,Atlalilco,Boleto,0
2021-01-10,Atlalilco,Prepago,1366
2021-01-10,Atlalilco,Gratuidad,1606
2021-01-10,Calle 11,Boleto,0
2021-01-10,Calle 11,Prepago,2720
2021-01-10,Calle 11,Gratuidad,420
2021-01-10,Culhuacán,Boleto,0
2021-01-10,Culhuacán,Prepago,4894
2021-01-10,Culhuacán,Gratuidad,1618
2021-01-10,Eje Central,Boleto,0
2021-01-10,Eje Central,Prepago,1199
2021-01-10,Eje Central,Gratuidad,2001
2021-01-10,Ermita,Boleto,0
2021-01-10,Ermita,Prepago,3757
2021-01-10,Ermita,Gratuidad,1760
2021-01-10,Insurgentes Sur,Boleto,0
2021-01-10,Insurgentes Sur,Prepago,5810
2021-01-10,Insurgentes Sur,Gratuidad,1518
2021-01-10,Lomas Estrella,Boleto,0
2021-01-10,Lomas Estrella,Prepago,1975
2021-01-10,Lomas Estrella,Gratuidad,0
2021-01-10,Mexicaltzingo,Boleto,0
2021-01-10,Mexicaltzingo,Prepago,3007
2021-01-10,Mexicaltzingo,Gratuidad,6517
2021-01-10,Mixcoac,Boleto,0
2021-01-10,Mixcoac,Prepago,2010
2021-01-10,Mixcoac,Gratuidad,580
2021-01-10,Nopalera,Boleto,0
2021-01-10,Nopalera,Prepago,5841
2021-01-10,Nopalera,Gratuidad,2551
2021-01-10,Olivos,Boleto,0
2021-01-10,Olivos,Prepago,3986
2021-01-10,Olivos,Gratuidad,416
2021-01-10,Parque de los Venados,Boleto,0
2021-01-10,Parque de los Venados,Prepago,1786
2021-01-10,Parque de los Venados,Gratuidad,175
2021-01-10,Periférico Oriente,Boleto,0
2021-01-10,Periférico Oriente,Prepago,8687
2021-01-10,Periférico Oriente,Gratuidad,1526
2021-01-10,San Andrés Tomatlán,Boleto,0
2021-01-10,San Andrés Tomatlán,Prepago,2097
2021-01-10,San Andrés Tomatlán,Gratuidad,2
2021-01-10,Tezonco,Boleto,0
2021-01-10,Tezonco,Prepago,5580
2021-01-10,Tezonco,Gratuidad,822
2021-01-10,Tláhuac,Boleto,0
2021-01-10,Tláhuac,Prepago,2445
2021-01-10,Tláhuac,Gratuidad,5185
2021-01-10,Tlaltenco,Boleto,0
2021-01-10,Tlaltenco,Prepago,1252
2021-01-10,Tlaltenco,Gratuidad,114
2021-01-10,Zapata,Boleto,0
2021-01-10,Zapata,Prepago,4519
